Árvores/Profundidade, Média Validação Cruzada, Desvio-Padrão Validação Cruzada, Média Erro Absoluto, R², Variância Explicada
20 / 85 , 0.85593377625 , 0.0730335392188 , 31940.1327227 , 0.765621330385 , 0.7730296753
20 / 90 , 0.85593377625 , 0.0730335392188 , 31940.1327227 , 0.765621330385 , 0.7730296753
20 / 95 , 0.85593377625 , 0.0730335392188 , 31940.1327227 , 0.765621330385 , 0.7730296753
25 / 5 , 0.82525688875 , 0.085932186602 , 43852.9005286 , 0.740585455043 , 0.750852161608
25 / 10 , 0.858315760185 , 0.06734666357 , 31711.4691261 , 0.765661687156 , 0.773943711143
25 / 15 , 0.860980091385 , 0.0680608355058 , 30933.5596849 , 0.794481925449 , 0.80070569084
25 / 20 , 0.857710121562 , 0.0749293835703 , 30708.2765367 , 0.771108390735 , 0.777502268894
25 / 25 , 0.856837604969 , 0.0737495062789 , 30828.9637265 , 0.786039531544 , 0.792777046401
25 / 30 , 0.85693133369 , 0.0740800826954 , 30872.5272303 , 0.784279031639 , 0.79043545777
25 / 35 , 0.856900305863 , 0.0740607404082 , 31102.5829804 , 0.781280002194 , 0.787491636451
25 / 40 , 0.856900305863 , 0.0740607404082 , 31102.5829804 , 0.781280002194 , 0.787491636451
25 / 45 , 0.856900305863 , 0.0740607404082 , 31102.5829804 , 0.781280002194 , 0.787491636451
25 / 50 , 0.856900305863 , 0.0740607404082 , 31102.5829804 , 0.781280002194 , 0.787491636451
25 / 55 , 0.856900305863 , 0.0740607404082 , 31102.5829804 , 0.781280002194 , 0.787491636451
25 / 60 , 0.856900305863 , 0.0740607404082 , 31102.5829804 , 0.781280002194 , 0.787491636451
25 / 65 , 0.856900305863 , 0.0740607404082 , 31102.5829804 , 0.781280002194 , 0.787491636451
25 / 70 , 0.856900305863 , 0.0740607404082 , 31102.5829804 , 0.781280002194 , 0.787491636451
25 / 75 , 0.856900305863 , 0.0740607404082 , 31102.5829804 , 0.781280002194 , 0.787491636451
25 / 80 , 0.856900305863 , 0.0740607404082 , 31102.5829804 , 0.781280002194 , 0.787491636451
25 / 85 , 0.856900305863 , 0.0740607404082 , 31102.5829804 , 0.781280002194 , 0.787491636451
25 / 90 , 0.856900305863 , 0.0740607404082 , 31102.5829804 , 0.781280002194 , 0.787491636451
25 / 95 , 0.856900305863 , 0.0740607404082 , 31102.5829804 , 0.781280002194 , 0.787491636451
30 / 5 , 0.827846578805 , 0.0853773680396 , 42952.3225072 , 0.755661338097 , 0.765058066881
30 / 10 , 0.858948594859 , 0.0682967966072 , 30799.8924584 , 0.787429790371 , 0.795293482494
30 / 15 , 0.861130675432 , 0.0686124991115 , 30078.7950765 , 0.805883396192 , 0.812045070361
30 / 20 , 0.858559477957 , 0.0754296207938 , 29958.6571039 , 0.784520081163 , 0.790753005507
30 / 25 , 0.858695832644 , 0.0734354091291 , 29965.9167209 , 0.796885627568 , 0.80336635973
30 / 30 , 0.858607096285 , 0.0736997200305 , 29961.7305056 , 0.795581971525 , 0.801535941764
30 / 35 , 0.858578444269 , 0.0736902464617 , 30148.7172625 , 0.793138310431 , 0.799137509236
30 / 40 , 0.858578444269 , 0.0736902464617 , 30148.7172625 , 0.793138310431 , 0.799137509236
30 / 45 , 0.858578444269 , 0.0736902464617 , 30148.7172625 , 0.793138310431 , 0.799137509236
30 / 50 , 0.858578444269 , 0.0736902464617 , 30148.7172625 , 0.793138310431 , 0.799137509236
