BAIRROS,CODIGOS,LATITUDE,LONGITUDE
VILA PIOLANDA,231,null,null
VILA PRODACON,36,-16.6691065,-43.85418629999999
VILA RAUL J PEREIRA,188,null,null
VILA REAL,154,-16.7141382,-43.8186386
VILA REGINA,158,-16.7085209,-43.8559777
VILA SANTA CRUZ,153,-16.7221045,-43.8658856
VILA SANTA MÔNICA,143,-16.6921117,-43.87818000000001
VILA SAO FRANCISCO DE ASSIS,177,-16.7074558,-43.8591045
VILA SAO LUIZ,162,null,null
VILA SEGURA,6,-16.7038915,-43.8123788
VILA SENHOR DO BOMFIM,86,-16.7339528,-43.8523231
VILA SION,23,-16.7591127,-43.8374627
VILA SION II,7,-16.7574088,-43.8404293
VILA SUMARÉ,41,-16.7424783,-43.8565749
VILA TELMA,5,-16.761103,-43.8452279
VILA TIRADENTES,107,-16.7286406,-43.8582139
VILA TONCHEFF,20,-16.7119501,-43.8616624
VILA TUPA,97,null,null
VILLAGE DO LAGO,139,-16.6855054,-43.8314886
VISTA ALEGRE,50,-16.6742796,-43.7975772
ZONA RURAL DE MONTES CLAROS,151,-16.73439,-43.8627236
